"STATISTIC Label","Year","Single year of age","Females","Males","All persons"
"Mid-year population estimate",2013,"18",12114,12756,24870
"Mid-year population estimate",2013,"19",11758,12439,24197
"Mid-year population estimate",2013,"20",11501,12100,23601
"Mid-year population estimate",2013,"21",11996,12308,24304
"Mid-year population estimate",2013,"22",12146,12312,24458
"Mid-year population estimate",2013,"23",12312,12322,24634
"Mid-year population estimate",2013,"24",12303,12237,24540
"Mid-year population estimate",2013,"25",12593,12220,24813
"Mid-year population estimate",2013,"26",12696,12321,25017
"Mid-year population estimate",2013,"27",12757,12282,25039
"Mid-year population estimate",2013,"28",12776,12367,25143
"Mid-year population estimate",2013,"29",12706,12046,24752
"Mid-year population estimate",2013,"30",12568,11997,24565
"Mid-year population estimate",2013,"31",12642,11987,24629
"Mid-year population estimate",2013,"32",12832,12182,25014
"Mid-year population estimate",2013,"33",12973,12326,25299
"Mid-year population estimate",2013,"34",12497,11547,24044
"Mid-year population estimate",2013,"35",11841,11182,23023
"Mid-year population estimate",2013,"36",11589,11056,22645
"Mid-year population estimate",2013,"37",11746,11166,22912
"Mid-year population estimate",2013,"38",11866,11475,23341
"Mid-year population estimate",2013,"39",12328,11782,24110
"Mid-year population estimate",2013,"40",12683,12249,24932
"Mid-year population estimate",2013,"41",12771,12484,25255
"Mid-year population estimate",2013,"42",13281,12648,25929
"Mid-year population estimate",2013,"43",13207,12618,25825
"Mid-year population estimate",2013,"44",13410,12782,26192
"Mid-year population estimate",2013,"45",13543,13069,26612
"Mid-year population estimate",2013,"46",13590,13010,26600
"Mid-year population estimate",2013,"47",13489,13165,26654
"Mid-year population estimate",2013,"48",13798,13312,27110
"Mid-year population estimate",2013,"49",13506,13176,26682
"Mid-year population estimate",2013,"50",12987,12991,25978
"Mid-year population estimate",2013,"51",12883,12455,25338
"Mid-year population estimate",2013,"52",12660,12368,25028
"Mid-year population estimate",2013,"53",12206,11789,23995
"Mid-year population estimate",2013,"54",11808,11516,23324
"Mid-year population estimate",2013,"55",11628,11384,23012
"Mid-year population estimate",2013,"56",11126,10916,22042
"Mid-year population estimate",2013,"57",10627,10606,21233
"Mid-year population estimate",2013,"58",10007,10152,20159
"Mid-year population estimate",2013,"59",9798,10030,19828
"Mid-year population estimate",2013,"60",9751,9676,19427
"Mid-year population estimate",2013,"61",9369,9248,18617
"Mid-year population estimate",2013,"62",9382,9312,18694
"Mid-year population estimate",2013,"63",9509,9211,18720
"Mid-year population estimate",2013,"64",9376,9094,18470
"Mid-year population estimate",2013,"65",9457,8943,18400
"Mid-year population estimate",2013,"66",9623,8877,18500
"Mid-year population estimate",2013,"67",8808,8239,17047
"Mid-year population estimate",2013,"68",8738,8060,16798
"Mid-year population estimate",2013,"69",8664,8033,16697
"Mid-year population estimate",2013,"70",8399,7683,16082
"Mid-year population estimate",2013,"71",7516,6769,14285
"Mid-year population estimate",2013,"72",6829,6029,12858
"Mid-year population estimate",2013,"73",6692,5750,12442
"Mid-year population estimate",2013,"74",6728,5696,12424
"Mid-year population estimate",2013,"75",6367,5398,11765
"Mid-year population estimate",2013,"76",6220,5151,11371
"Mid-year population estimate",2013,"77",5941,4675,10616
"Mid-year population estimate",2013,"78",5594,4327,9921
"Mid-year population estimate",2013,"79",5178,3973,9151
"Mid-year population estimate",2013,"80",5156,3651,8807
"Mid-year population estimate",2013,"81",4854,3344,8198
"Mid-year population estimate",2013,"82",4561,3090,7651
"Mid-year population estimate",2013,"83",4263,2623,6886
"Mid-year population estimate",2013,"84",3922,2338,6260
"Mid-year population estimate",2013,"85",3551,1993,5544
"Mid-year population estimate",2013,"86",3248,1784,5032
"Mid-year population estimate",2013,"87",2828,1453,4281
"Mid-year population estimate",2013,"88",2495,1253,3748
"Mid-year population estimate",2013,"89",2311,1042,3353
"Mid-year population estimate",2013,"90",8300,3028,11328
"Mid-year population estimate",2013,"All",933881,897796,1831677
"Mid-year population estimate",2014,"0",11782,12403,24185
"Mid-year population estimate",2014,"1",12123,12586,24709
"Mid-year population estimate",2014,"2",12450,13080,25530
"Mid-year population estimate",2014,"3",12521,12981,25502
"Mid-year population estimate",2014,"4",12351,12860,25211
"Mid-year population estimate",2014,"5",12436,13061,25497
"Mid-year population estimate",2014,"6",12456,13034,25490
"Mid-year population estimate",2014,"7",11796,12461,24257
"Mid-year population estimate",2014,"8",11327,11888,23215
"Mid-year population estimate",2014,"9",11070,11759,22829
"Mid-year population estimate",2014,"10",10952,11632,22584
"Mid-year population estimate",2014,"11",10779,11282,22061
"Mid-year population estimate",2014,"12",10873,11200,22073
"Mid-year population estimate",2014,"13",11007,11384,22391
"Mid-year population estimate",2014,"14",11111,11905,23016
"Mid-year population estimate",2014,"15",11746,12364,24110
"Mid-year population estimate",2014,"16",12066,12538,24604
"Mid-year population estimate",2014,"17",12400,12767,25167
"Mid-year population estimate",2014,"18",12055,12715,24770
"Mid-year population estimate",2014,"19",11369,12406,23775
"Mid-year population estimate",2014,"20",11573,12255,23828
"Mid-year population estimate",2014,"21",11552,11971,23523
"Mid-year population estimate",2014,"22",12084,12172,24256
"Mid-year population estimate",2014,"23",12231,12145,24376
"Mid-year population estimate",2014,"24",12355,12219,24574
"Mid-year population estimate",2014,"25",12300,12133,24433
"Mid-year population estimate",2014,"26",12689,12181,24870
"Mid-year population estimate",2014,"27",12744,12268,25012
"Mid-year population estimate",2014,"28",12842,12282,25124
"Mid-year population estimate",2014,"29",12784,12317,25101
"Mid-year population estimate",2014,"30",12735,12034,24769
"Mid-year population estimate",2014,"31",12615,12020,24635
"Mid-year population estimate",2014,"32",12629,11976,24605
"Mid-year population estimate",2014,"33",12846,12145,24991
"Mid-year population estimate",2014,"34",13024,12380,25404
"Mid-year population estimate",2014,"35",12527,11584,24111
"Mid-year population estimate",2014,"36",11858,11197,23055
"Mid-year population estimate",2014,"37",11589,11049,22638
"Mid-year population estimate",2014,"38",11763,11140,22903
"Mid-year population estimate",2014,"39",11857,11484,23341
"Mid-year population estimate",2014,"40",12342,11768,24110
"Mid-year population estimate",2014,"41",12669,12276,24945
"Mid-year population estimate",2014,"42",12764,12456,25220
"Mid-year population estimate",2014,"43",13294,12601,25895
"Mid-year population estimate",2014,"44",13201,12607,25808
"Mid-year population estimate",2014,"45",13405,12789,26194
"Mid-year population estimate",2014,"46",13536,13100,26636
"Mid-year population estimate",2014,"47",13570,12995,26565
"Mid-year population estimate",2014,"48",13497,13145,26642
"Mid-year population estimate",2014,"49",13780,13282,27062
"Mid-year population estimate",2014,"50",13503,13152,26655
"Mid-year population estimate",2014,"51",12986,12964,25950
"Mid-year population estimate",2014,"52",12857,12433,25290
"Mid-year population estimate",2014,"53",12673,12341,25014
"Mid-year population estimate",2014,"54",12213,11764,23977
"Mid-year population estimate",2014,"55",11802,11479,23281
"Mid-year population estimate",2014,"56",11595,11354,22949
"Mid-year population estimate",2014,"57",11095,10869,21964
"Mid-year population estimate",2014,"58",10623,10600,21223
"Mid-year population estimate",2014,"59",9988,10125,20113
"Mid-year population estimate",2014,"60",9760,9993,19753
"Mid-year population estimate",2014,"61",9738,9629,19367
"Mid-year population estimate",2014,"62",9303,9185,18488
"Mid-year population estimate",2014,"63",9352,9275,18627
"Mid-year population estimate",2014,"64",9449,9090,18539
"Mid-year population estimate",2014,"65",9287,8972,18259
"Mid-year population estimate",2014,"66",9370,8833,18203
"Mid-year population estimate",2014,"67",9540,8792,18332
"Mid-year population estimate",2014,"68",8721,8126,16847
"Mid-year population estimate",2014,"69",8635,7907,16542
"Mid-year population estimate",2014,"70",8565,7852,16417
"Mid-year population estimate",2014,"71",8315,7539,15854
"Mid-year population estimate",2014,"72",7390,6607,13997
"Mid-year population estimate",2014,"73",6741,5892,12633
"Mid-year population estimate",2014,"74",6594,5593,12187
"Mid-year population estimate",2014,"75",6582,5540,12122
"Mid-year population estimate",2014,"76",6214,5244,11458
"Mid-year population estimate",2014,"77",6053,4959,11012
"Mid-year population estimate",2014,"78",5750,4490,10240
"Mid-year population estimate",2014,"79",5397,4134,9531
"Mid-year population estimate",2014,"80",4970,3757,8727
"Mid-year population estimate",2014,"81",4946,3445,8391
"Mid-year population estimate",2014,"82",4606,3127,7733
"Mid-year population estimate",2014,"83",4287,2828,7115
"Mid-year population estimate",2014,"84",3988,2399,6387
"Mid-year population estimate",2014,"85",3652,2104,5756
"Mid-year population estimate",2014,"86",3234,1803,5037
"Mid-year population estimate",2014,"87",2952,1567,4519
"Mid-year population estimate",2014,"88",2577,1235,3812
"Mid-year population estimate",2014,"89",2195,1047,3242
"Mid-year population estimate",2014,"90",8776,3265,12041
"Mid-year population estimate",2014,"All",939599,903587,1843186
"Mid-year population estimate",2015,"0",11832,12356,24188
"Mid-year population estimate",2015,"1",11873,12479,24352
"Mid-year population estimate",2015,"2",12207,12632,24839
"Mid-year population estimate",2015,"3",12471,13130,25601
"Mid-year population estimate",2015,"4",12558,13010,25568
"Mid-year population estimate",2015,"5",12358,12879,25237
"Mid-year population estimate",2015,"6",12413,13068,25481
"Mid-year population estimate",2015,"7",12470,13068,25538
"Mid-year population estimate",2015,"8",11811,12478,24289
"Mid-year population estimate",2015,"9",11321,11908,23229
"Mid-year population estimate",2015,"10",11129,11804,22933
"Mid-year population estimate",2015,"11",11010,11665,22675
"Mid-year population estimate",2015,"12",10853,11343,22196
"Mid-year population estimate",2015,"13",10919,11232,22151
"Mid-year population estimate",2015,"14",11067,11412,22479
"Mid-year population estimate",2015,"15",11116,11898,23014
"Mid-year population estimate",2015,"16",11751,12401,24152
"Mid-year population estimate",2015,"17",12133,12552,24685
"Mid-year population estimate",2015,"18",12525,12829,25354
"Mid-year population estimate",2015,"19",11330,12380,23710
"Mid-year population estimate",2015,"20",11199,12309,23508
"Mid-year population estimate",2015,"21",11544,12074,23618
"Mid-year population estimate",2015,"22",11731,11913,23644
"Mid-year population estimate",2015,"23",12186,12132,24318
"Mid-year population estimate",2015,"24",12322,12084,24406
"Mid-year population estimate",2015,"25",12320,12124,24444
"Mid-year population estimate",2015,"26",12328,12125,24453
"Mid-year population estimate",2015,"27",12781,12193,24974
"Mid-year population estimate",2015,"28",12794,12236,25030
"Mid-year population estimate",2015,"29",12939,12353,25292
"Mid-year population estimate",2015,"30",12825,12404,25229
"Mid-year population estimate",2015,"31",12774,12078,24852
"Mid-year population estimate",2015,"32",12667,12056,24723
"Mid-year population estimate",2015,"33",12684,12025,24709
"Mid-year population estimate",2015,"34",12900,12202,25102
"Mid-year population estimate",2015,"35",13022,12421,25443
"Mid-year population estimate",2015,"36",12572,11662,24234
"Mid-year population estimate",2015,"37",11859,11207,23066
"Mid-year population estimate",2015,"38",11602,11093,22695
"Mid-year population estimate",2015,"39",11774,11194,22968
"Mid-year population estimate",2015,"40",11827,11492,23319
"Mid-year population estimate",2015,"41",12296,11775,24071
"Mid-year population estimate",2015,"42",12679,12307,24986
"Mid-year population estimate",2015,"43",12766,12486,25252
"Mid-year population estimate",2015,"44",13315,12633,25948
"Mid-year population estimate",2015,"45",13201,12649,25850
"Mid-year population estimate",2015,"46",13396,12809,26205
"Mid-year population estimate",2015,"47",13537,13122,26659
"Mid-year population estimate",2015,"48",13573,12986,26559
"Mid-year population estimate",2015,"49",13463,13171,26634
"Mid-year population estimate",2015,"50",13742,13292,27034
"Mid-year population estimate",2015,"51",13490,13130,26620
"Mid-year population estimate",2015,"52",12982,12913,25895
"Mid-year population estimate",2015,"53",12852,12414,25266
"Mid-year population estimate",2015,"54",12688,12318,25006
"Mid-year population estimate",2015,"55",12182,11760,23942
"Mid-year population estimate",2015,"56",11775,11445,23220
"Mid-year population estimate",2015,"57",11578,11339,22917
"Mid-year population estimate",2015,"58",11048,10825,21873
"Mid-year population estimate",2015,"59",10585,10549,21134
"Mid-year population estimate",2015,"60",9940,10028,19968
"Mid-year population estimate",2015,"61",9696,9913,19609
"Mid-year population estimate",2015,"62",9689,9540,19229
"Mid-year population estimate",2015,"63",9251,9120,18371
"Mid-year population estimate",2015,"64",9299,9201,18500
"Mid-year population estimate",2015,"65",9376,8984,18360
"Mid-year population estimate",2015,"66",9190,8897,18087
"Mid-year population estimate",2015,"67",9272,8716,17988
"Mid-year population estimate",2015,"68",9467,8676,18143
"Mid-year population estimate",2015,"69",8620,7989,16609
"Mid-year population estimate",2015,"70",8509,7734,16243
"Mid-year population estimate",2015,"71",8440,7676,16116
"Mid-year population estimate",2015,"72",8204,7375,15579
"Mid-year population estimate",2015,"73",7250,6454,13704
"Mid-year population estimate",2015,"74",6591,5704,12295
"Mid-year population estimate",2015,"75",6426,5405,11831
"Mid-year population estimate",2015,"76",6400,5318,11718
"Mid-year population estimate",2015,"77",6031,5028,11059
"Mid-year population estimate",2015,"78",5890,4760,10650
"Mid-year population estimate",2015,"79",5565,4259,9824
"Mid-year population estimate",2015,"80",5184,3872,9056
"Mid-year population estimate",2015,"81",4724,3513,8237
"Mid-year population estimate",2015,"82",4674,3212,7886
"Mid-year population estimate",2015,"83",4340,2885,7225
"Mid-year population estimate",2015,"84",3968,2567,6535
"Mid-year population estimate",2015,"85",3696,2162,5858
"Mid-year population estimate",2015,"86",3324,1903,5227
"Mid-year population estimate",2015,"87",2916,1577,4493
"Mid-year population estimate",2015,"88",2654,1371,4025
"Mid-year population estimate",2015,"89",2254,1054,3308
"Mid-year population estimate",2015,"90",8988,3453,12441
"Mid-year population estimate",2015,"All",944773,910170,1854943
"Mid-year population estimate",2016,"0",11714,12670,24384
"Mid-year population estimate",2016,"1",11902,12466,24368
"Mid-year population estimate",2016,"2",11919,12532,24451
"Mid-year population estimate",2016,"3",12251,12666,24917
"Mid-year population estimate",2016,"4",12490,13168,25658
"Mid-year population estimate",2016,"5",12574,13032,25606
"Mid-year population estimate",2016,"6",12352,12891,25243
"Mid-year population estimate",2016,"7",12440,13059,25499
"Mid-year population estimate",2016,"8",12472,13091,25563
"Mid-year population estimate",2016,"9",11843,12494,24337
"Mid-year population estimate",2016,"10",11349,11916,23265
"Mid-year population estimate",2016,"11",11188,11867,23055
"Mid-year population estimate",2016,"12",11065,11718,22783
"Mid-year population estimate",2016,"13",10910,11411,22321
"Mid-year population estimate",2016,"14",10998,11243,22241
"Mid-year population estimate",2016,"15",11114,11434,22548
"Mid-year population estimate",2016,"16",11137,11895,23032
"Mid-year population estimate",2016,"17",11748,12407,24155
"Mid-year population estimate",2016,"18",12113,12565,24678
"Mid-year population estimate",2016,"19",11850,12509,24359
"Mid-year population estimate",2016,"20",11222,12294,23516
"Mid-year population estimate",2016,"21",11158,12124,23282
"Mid-year population estimate",2016,"22",11590,11936,23526
"Mid-year population estimate",2016,"23",11775,11799,23574
"Mid-year population estimate",2016,"24",12167,11969,24136
"Mid-year population estimate",2016,"25",12278,11969,24247
"Mid-year population estimate",2016,"26",12344,12095,24439
"Mid-year population estimate",2016,"27",12354,12112,24466
"Mid-year population estimate",2016,"28",12840,12174,25014
"Mid-year population estimate",2016,"29",12871,12227,25098
"Mid-year population estimate",2016,"30",12963,12394,25357
"Mid-year population estimate",2016,"31",12821,12456,25277
"Mid-year population estimate",2016,"32",12787,12077,24864
"Mid-year population estimate",2016,"33",12685,12094,24779
"Mid-year population estimate",2016,"34",12744,12068,24812
"Mid-year population estimate",2016,"35",12932,12181,25113
"Mid-year population estimate",2016,"36",13071,12492,25563
"Mid-year population estimate",2016,"37",12657,11756,24413
"Mid-year population estimate",2016,"38",11888,11229,23117
"Mid-year population estimate",2016,"39",11614,11094,22708
"Mid-year population estimate",2016,"40",11813,11222,23035
"Mid-year population estimate",2016,"41",11817,11486,23303
"Mid-year population estimate",2016,"42",12293,11806,24099
"Mid-year population estimate",2016,"43",12682,12307,24989
"Mid-year population estimate",2016,"44",12753,12504,25257
"Mid-year population estimate",2016,"45",13305,12643,25948
"Mid-year population estimate",2016,"46",13178,12651,25829
"Mid-year population estimate",2016,"47",13391,12810,26201
"Mid-year population estimate",2016,"48",13516,13127,26643
"Mid-year population estimate",2016,"49",13570,12966,26536
"Mid-year population estimate",2016,"50",13429,13179,26608
"Mid-year population estimate",2016,"51",13742,13283,27025
"Mid-year population estimate",2016,"52",13500,13111,26611
"Mid-year population estimate",2016,"53",12956,12869,25825
"Mid-year population estimate",2016,"54",12814,12396,25210
"Mid-year population estimate",2016,"55",12674,12291,24965
"Mid-year population estimate",2016,"56",12137,11730,23867
"Mid-year population estimate",2016,"57",11751,11375,23126
"Mid-year population estimate",2016,"58",11579,11275,22854
"Mid-year population estimate",2016,"59",11014,10777,21791
"Mid-year population estimate",2016,"60",10551,10499,21050
"Mid-year population estimate",2016,"61",9890,9958,19848
"Mid-year population estimate",2016,"62",9634,9837,19471
"Mid-year population estimate",2016,"63",9675,9484,19159
"Mid-year population estimate",2016,"64",9201,9034,18235
"Mid-year population estimate",2016,"65",9234,9097,18331
"Mid-year population estimate",2016,"66",9302,8895,18197
"Mid-year population estimate",2016,"67",9108,8785,17893
"Mid-year population estimate",2016,"68",9150,8593,17743
"Mid-year population estimate",2016,"69",9373,8559,17932
"Mid-year population estimate",2016,"70",8498,7844,16342
"Mid-year population estimate",2016,"71",8378,7583,15961
"Mid-year population estimate",2016,"72",8293,7483,15776
"Mid-year population estimate",2016,"73",8057,7209,15266
"Mid-year population estimate",2016,"74",7109,6289,13398
"Mid-year population estimate",2016,"75",6447,5529,11976
"Mid-year population estimate",2016,"76",6278,5231,11509
"Mid-year population estimate",2016,"77",6211,5109,11320
"Mid-year population estimate",2016,"78",5861,4843,10704
"Mid-year population estimate",2016,"79",5722,4531,10253
"Mid-year population estimate",2016,"80",5345,4045,9390
"Mid-year population estimate",2016,"81",4977,3632,8609
"Mid-year population estimate",2016,"82",4524,3282,7806
"Mid-year population estimate",2016,"83",4457,2984,7441
"Mid-year population estimate",2016,"84",4068,2634,6702
"Mid-year population estimate",2016,"85",3650,2353,6003
"Mid-year population estimate",2016,"86",3390,1891,5281
"Mid-year population estimate",2016,"87",3032,1683,4715
"Mid-year population estimate",2016,"88",2626,1371,3997
"Mid-year population estimate",2016,"89",2344,1185,3529
"Mid-year population estimate",2016,"90",9179,3540,12719
"Mid-year population estimate",2016,"All",949668,916374,1866042
"Mid-year population estimate",2017,"0",11443,12137,23580
"Mid-year population estimate",2017,"1",11827,12709,24536
"Mid-year population estimate",2017,"2",11949,12507,24456
"Mid-year population estimate",2017,"3",11903,12542,24445
"Mid-year population estimate",2017,"4",12252,12667,24919
"Mid-year population estimate",2017,"5",12503,13185,25688
"Mid-year population estimate",2017,"6",12614,13064,25678
"Mid-year population estimate",2017,"7",12399,12901,25300
"Mid-year population estimate",2017,"8",12469,13058,25527
"Mid-year population estimate",2017,"9",12492,13092,25584
"Mid-year population estimate",2017,"10",11843,12503,24346
"Mid-year population estimate",2017,"11",11368,11937,23305
"Mid-year population estimate",2017,"12",11256,11914,23170
"Mid-year population estimate",2017,"13",11134,11749,22883
"Mid-year population estimate",2017,"14",10961,11483,22444
"Mid-year population estimate",2017,"15",11035,11258,22293
"Mid-year population estimate",2017,"16",11168,11453,22621
"Mid-year population estimate",2017,"17",11134,11869,23003
"Mid-year population estimate",2017,"18",11748,12457,24205
"Mid-year population estimate",2017,"19",11288,12146,23434
"Mid-year population estimate",2017,"20",11392,12269,23661
"Mid-year population estimate",2017,"21",11112,12073,23185
"Mid-year population estimate",2017,"22",11233,12055,23288
"Mid-year population estimate",2017,"23",11662,11776,23438
"Mid-year population estimate",2017,"24",11723,11553,23276
"Mid-year population estimate",2017,"25",12130,11859,23989
"Mid-year population estimate",2017,"26",12292,11885,24177
"Mid-year population estimate",2017,"27",12402,12090,24492
"Mid-year population estimate",2017,"28",12375,12085,24460
"Mid-year population estimate",2017,"29",12930,12156,25086
"Mid-year population estimate",2017,"30",12978,12247,25225
"Mid-year population estimate",2017,"31",13050,12473,25523
"Mid-year population estimate",2017,"32",12850,12466,25316
"Mid-year population estimate",2017,"33",12831,12093,24924
"Mid-year population estimate",2017,"34",12749,12116,24865
"Mid-year population estimate",2017,"35",12777,12092,24869
"Mid-year population estimate",2017,"36",12971,12204,25175
"Mid-year population estimate",2017,"37",13128,12528,25656
"Mid-year population estimate",2017,"38",12706,11821,24527
"Mid-year population estimate",2017,"39",11941,11251,23192
"Mid-year population estimate",2017,"40",11618,11134,22752
"Mid-year population estimate",2017,"41",11840,11245,23085
"Mid-year population estimate",2017,"42",11815,11498,23313
"Mid-year population estimate",2017,"43",12282,11817,24099
"Mid-year population estimate",2017,"44",12681,12332,25013
"Mid-year population estimate",2017,"45",12751,12504,25255
"Mid-year population estimate",2017,"46",13305,12650,25955
"Mid-year population estimate",2017,"47",13177,12690,25867
"Mid-year population estimate",2017,"48",13399,12834,26233
"Mid-year population estimate",2017,"49",13530,13116,26646
"Mid-year population estimate",2017,"50",13558,12949,26507
"Mid-year population estimate",2017,"51",13402,13138,26540
"Mid-year population estimate",2017,"52",13712,13265,26977
"Mid-year population estimate",2017,"53",13470,13107,26577
"Mid-year population estimate",2017,"54",12916,12844,25760
"Mid-year population estimate",2017,"55",12794,12370,25164
"Mid-year population estimate",2017,"56",12658,12279,24937
"Mid-year population estimate",2017,"57",12107,11693,23800
"Mid-year population estimate",2017,"58",11753,11306,23059
"Mid-year population estimate",2017,"59",11574,11228,22802
"Mid-year population estimate",2017,"60",10958,10703,21661
"Mid-year population estimate",2017,"61",10533,10465,20998
"Mid-year population estimate",2017,"62",9850,9907,19757
"Mid-year population estimate",2017,"63",9564,9777,19341
"Mid-year population estimate",2017,"64",9624,9435,19059
"Mid-year population estimate",2017,"65",9159,8938,18097
"Mid-year population estimate",2017,"66",9189,9009,18198
"Mid-year population estimate",2017,"67",9202,8774,17976
"Mid-year population estimate",2017,"68",9014,8685,17699
"Mid-year population estimate",2017,"69",9043,8453,17496
"Mid-year population estimate",2017,"70",9243,8434,17677
"Mid-year population estimate",2017,"71",8399,7712,16111
"Mid-year population estimate",2017,"72",8222,7418,15640
"Mid-year population estimate",2017,"73",8160,7300,15460
"Mid-year population estimate",2017,"74",7902,7009,14911
"Mid-year population estimate",2017,"75",6942,6091,13033
"Mid-year population estimate",2017,"76",6288,5357,11645
"Mid-year population estimate",2017,"77",6106,5034,11140
"Mid-year population estimate",2017,"78",6032,4910,10942
"Mid-year population estimate",2017,"79",5639,4615,10254
"Mid-year population estimate",2017,"80",5509,4288,9797
"Mid-year population estimate",2017,"81",5108,3823,8931
"Mid-year population estimate",2017,"82",4747,3377,8124
"Mid-year population estimate",2017,"83",4264,3034,7298
"Mid-year population estimate",2017,"84",4160,2750,6910
"Mid-year population estimate",2017,"85",3784,2395,6179
"Mid-year population estimate",2017,"86",3315,2089,5404
"Mid-year population estimate",2017,"87",3031,1630,4661
"Mid-year population estimate",2017,"88",2709,1451,4160
"Mid-year population estimate",2017,"89",2324,1174,3498
"Mid-year population estimate",2017,"90",9335,3704,13039
"Mid-year population estimate",2017,"All",953715,921463,1875178
"Mid-year population estimate",2018,"0",11252,11790,23042
"Mid-year population estimate",2018,"1",11540,12233,23773
"Mid-year population estimate",2018,"2",11887,12752,24639
"Mid-year population estimate",2018,"3",11984,12547,24531
"Mid-year population estimate",2018,"4",11967,12617,24584
"Mid-year population estimate",2018,"5",12258,12700,24958
"Mid-year population estimate",2018,"6",12538,13189,25727
"Mid-year population estimate",2018,"7",12626,13101,25727
"Mid-year population estimate",2018,"8",12432,12969,25401
"Mid-year population estimate",2018,"9",12508,13088,25596
"Mid-year population estimate",2018,"10",12529,13124,25653
"Mid-year population estimate",2018,"11",11859,12540,24399
"Mid-year population estimate",2018,"12",11395,11973,23368
"Mid-year population estimate",2018,"13",11362,11970,23332
"Mid-year population estimate",2018,"14",11185,11826,23011
"Mid-year population estimate",2018,"15",11025,11545,22570
"Mid-year population estimate",2018,"16",11106,11283,22389
"Mid-year population estimate",2018,"17",11243,11479,22722
"Mid-year population estimate",2018,"18",11162,11886,23048
"Mid-year population estimate",2018,"19",11036,12089,23125
"Mid-year population estimate",2018,"20",11094,12054,23148
"Mid-year population estimate",2018,"21",11483,12212,23695
"Mid-year population estimate",2018,"22",11232,12009,23241
"Mid-year population estimate",2018,"23",11370,12047,23417
"Mid-year population estimate",2018,"24",11647,11588,23235
"Mid-year population estimate",2018,"25",11726,11517,23243
"Mid-year population estimate",2018,"26",12165,11847,24012
"Mid-year population estimate",2018,"27",12340,11891,24231
"Mid-year population estimate",2018,"28",12496,12129,24625
"Mid-year population estimate",2018,"29",12423,12055,24478
"Mid-year population estimate",2018,"30",13033,12236,25269
"Mid-year population estimate",2018,"31",13104,12348,25452
"Mid-year population estimate",2018,"32",13110,12530,25640
"Mid-year population estimate",2018,"33",12958,12527,25485
"Mid-year population estimate",2018,"34",12936,12152,25088
"Mid-year population estimate",2018,"35",12844,12195,25039
"Mid-year population estimate",2018,"36",12832,12127,24959
"Mid-year population estimate",2018,"37",13014,12253,25267
"Mid-year population estimate",2018,"38",13215,12613,25828
"Mid-year population estimate",2018,"39",12766,11890,24656
"Mid-year population estimate",2018,"40",11983,11305,23288
"Mid-year population estimate",2018,"41",11626,11158,22784
"Mid-year population estimate",2018,"42",11896,11309,23205
"Mid-year population estimate",2018,"43",11805,11511,23316
"Mid-year population estimate",2018,"44",12295,11850,24145
"Mid-year population estimate",2018,"45",12718,12375,25093
"Mid-year population estimate",2018,"46",12713,12517,25230
"Mid-year population estimate",2018,"47",13296,12677,25973
"Mid-year population estimate",2018,"48",13185,12708,25893
"Mid-year population estimate",2018,"49",13430,12862,26292
"Mid-year population estimate",2018,"50",13527,13122,26649
"Mid-year population estimate",2018,"51",13544,12919,26463
"Mid-year population estimate",2018,"52",13399,13143,26542
"Mid-year population estimate",2018,"53",13689,13238,26927
"Mid-year population estimate",2018,"54",13461,13079,26540
"Mid-year population estimate",2018,"55",12876,12807,25683
"Mid-year population estimate",2018,"56",12769,12346,25115
"Mid-year population estimate",2018,"57",12640,12255,24895
"Mid-year population estimate",2018,"58",12101,11651,23752
"Mid-year population estimate",2018,"59",11731,11254,22985
"Mid-year population estimate",2018,"60",11541,11115,22656
"Mid-year population estimate",2018,"61",10897,10662,21559
"Mid-year population estimate",2018,"62",10507,10385,20892
"Mid-year population estimate",2018,"63",9775,9818,19593
"Mid-year population estimate",2018,"64",9497,9700,19197
"Mid-year population estimate",2018,"65",9571,9335,18906
"Mid-year population estimate",2018,"66",9082,8835,17917
"Mid-year population estimate",2018,"67",9100,8931,18031
"Mid-year population estimate",2018,"68",9123,8642,17765
"Mid-year population estimate",2018,"69",8917,8565,17482
"Mid-year population estimate",2018,"70",8920,8290,17210
"Mid-year population estimate",2018,"71",9125,8301,17426
"Mid-year population estimate",2018,"72",8285,7565,15850
"Mid-year population estimate",2018,"73",8070,7235,15305
"Mid-year population estimate",2018,"74",7993,7074,15067
"Mid-year population estimate",2018,"75",7734,6792,14526
"Mid-year population estimate",2018,"76",6773,5891,12664
"Mid-year population estimate",2018,"77",6133,5134,11267
"Mid-year population estimate",2018,"78",5914,4809,10723
"Mid-year population estimate",2018,"79",5823,4661,10484
"Mid-year population estimate",2018,"80",5430,4367,9797
"Mid-year population estimate",2018,"81",5272,4017,9289
"Mid-year population estimate",2018,"82",4884,3556,8440
"Mid-year population estimate",2018,"83",4482,3102,7584
"Mid-year population estimate",2018,"84",3985,2763,6748
"Mid-year population estimate",2018,"85",3859,2481,6340
"Mid-year population estimate",2018,"86",3450,2133,5583
"Mid-year population estimate",2018,"87",2962,1835,4797
"Mid-year population estimate",2018,"88",2683,1371,4054
"Mid-year population estimate",2018,"89",2354,1233,3587
"Mid-year population estimate",2018,"90",9354,3793,13147
"Mid-year population estimate",2018,"All",958861,927398,1886259
"Mid-year population estimate",2019,"0",11018,11632,22650
"Mid-year population estimate",2019,"1",11330,11832,23162
"Mid-year population estimate",2019,"2",11630,12276,23906
